Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID
ENSG00000288461	ENSG00000288461.1	23191
ENSG00000285146	ENSG00000285146.1	102465801
ENSG00000250893	ENSG00000250893.1	
ENSG00000285152	ENSG00000285152.2	55072
ENSG00000280043	ENSG00000280043.1	
ENSG00000244031	ENSG00000244031.3	
ENSG00000288479	ENSG00000288479.1	
ENSG00000174343	ENSG00000174343.6	55584
ENSG00000288445	ENSG00000288445.2	11234
ENSG00000270083	ENSG00000270083.1	
ENSG00000288241	ENSG00000288241.1	
ENSG00000237037	ENSG00000237037.9	
ENSG00000288214	ENSG00000288214.1	283767
ENSG00000288214	ENSG00000288214.1	124900581
ENSG00000288214	ENSG00000288214.1	124905482
ENSG00000288214	ENSG00000288214.1	124907501
ENSG00000165392	ENSG00000165392.11	7486
ENSG00000288344	ENSG00000288344.1	100132979
ENSG00000249334	ENSG00000249334.1	
ENSG00000288199	ENSG00000288199.3	4046
ENSG00000171476	ENSG00000171476.22	84525
ENSG00000213790	ENSG00000213790.2	
ENSG00000227370	ENSG00000227370.1	
ENSG00000232710	ENSG00000232710.1	
ENSG00000281538	ENSG00000281538.1	
ENSG00000226450	ENSG00000226450.2	
ENSG00000254672	ENSG00000254672.1	
ENSG00000254447	ENSG00000254447.3	
ENSG00000288339	ENSG00000288339.1	
ENSG00000182057	ENSG00000182057.5	
ENSG00000255519	ENSG00000255519.1	
ENSG00000254582	ENSG00000254582.1	
ENSG00000169550	ENSG00000169550.14	143662
ENSG00000230107	ENSG00000230107.1	
ENSG00000189306	ENSG00000189306.11	27341
ENSG00000159197	ENSG00000159197.4	9992
ENSG00000274391	ENSG00000274391.5	7179
ENSG00000274391	ENSG00000274391.5	105379278
ENSG00000288359	ENSG00000288359.1	496
ENSG00000288173	ENSG00000288173.1	
ENSG00000236988	ENSG00000236988.2	
ENSG00000223467	ENSG00000223467.2	
ENSG00000105549	ENSG00000105549.11	51298
ENSG00000270268	ENSG00000270268.1	
ENSG00000236365	ENSG00000236365.1	
ENSG00000288440	ENSG00000288440.1	102723623
ENSG00000235061	ENSG00000235061.3	
ENSG00000272027	ENSG00000272027.2	
ENSG00000254514	ENSG00000254514.1	124902665
ENSG00000231706	ENSG00000231706.2	
ENSG00000234766	ENSG00000234766.2	
ENSG00000233587	ENSG00000233587.2	
ENSG00000204118	ENSG00000204118.2	645996
ENSG00000229667	ENSG00000229667.2	
ENSG00000288128	ENSG00000288128.1	
ENSG00000288263	ENSG00000288263.1	6011
ENSG00000174740	ENSG00000174740.8	140886
ENSG00000288517	ENSG00000288517.1	283685
ENSG00000232518	ENSG00000232518.3	
ENSG00000288512	ENSG00000288512.1	715
ENSG00000186288	ENSG00000186288.5	340529
ENSG00000021300	ENSG00000021300.14	58473
ENSG00000288405	ENSG00000288405.1	
ENSG00000287313	ENSG00000287313.1	105374468
ENSG00000224065	ENSG00000224065.2	
ENSG00000237790	ENSG00000237790.1	106144585
ENSG00000174225	ENSG00000174225.15	392509
ENSG00000237803	ENSG00000237803.6	
ENSG00000288188	ENSG00000288188.1	54551
ENSG00000288364	ENSG00000288364.1	4692
ENSG00000100246	ENSG00000100246.13	10126
ENSG00000288448	ENSG00000288448.1	
ENSG00000288305	ENSG00000288305.1	100130386
ENSG00000229160	ENSG00000229160.1	
ENSG00000214843	ENSG00000214843.3	
ENSG00000286519	ENSG00000286519.1	
ENSG00000232604	ENSG00000232604.1	
ENSG00000225943	ENSG00000225943.1	
ENSG00000171126	ENSG00000171126.8	170850
ENSG00000227762	ENSG00000227762.4	
ENSG00000247345	ENSG00000247345.2	
ENSG00000249835	ENSG00000249835.2	105379054
ENSG00000254310	ENSG00000254310.1	
ENSG00000221890	ENSG00000221890.6	23467
ENSG00000212930	ENSG00000212930.3	
ENSG00000197860	ENSG00000197860.10	54557
ENSG00000267332	ENSG00000267332.1	
ENSG00000227292	ENSG00000227292.1	
ENSG00000226523	ENSG00000226523.1	
ENSG00000235848	ENSG00000235848.4	
ENSG00000183741	ENSG00000183741.12	23466
ENSG00000007264	ENSG00000007264.15	4145
ENSG00000213704	ENSG00000213704.3	
ENSG00000115808	ENSG00000115808.12	6801
ENSG00000165288	ENSG00000165288.11	254065
ENSG00000091490	ENSG00000091490.11	23231
ENSG00000254182	ENSG00000254182.1	
ENSG00000156482	ENSG00000156482.11	6156
ENSG00000250662	ENSG00000250662.1	
ENSG00000271687	ENSG00000271687.1	
ENSG00000113384	ENSG00000113384.14	64083
ENSG00000288106	ENSG00000288106.1	
ENSG00000235209	ENSG00000235209.1	
ENSG00000128383	ENSG00000128383.13	200315
ENSG00000128383	ENSG00000128383.13	100913187
ENSG00000211944	ENSG00000211944.2	
ENSG00000238000	ENSG00000238000.1	
ENSG00000285518	ENSG00000285518.1	124903342
ENSG00000272130	ENSG00000272130.1	
ENSG00000140025	ENSG00000140025.16	90141
ENSG00000189127	ENSG00000189127.8	340120
ENSG00000288319	ENSG00000288319.1	
ENSG00000288232	ENSG00000288232.1	100506412
ENSG00000288521	ENSG00000288521.1	124905169
ENSG00000288394	ENSG00000288394.1	
ENSG00000288228	ENSG00000288228.1	
ENSG00000288342	ENSG00000288342.1	
ENSG00000288315	ENSG00000288315.1	
ENSG00000288272	ENSG00000288272.1	440888
ENSG00000179750	ENSG00000179750.16	9582
ENSG00000254995	ENSG00000254995.4	
ENSG00000254060	ENSG00000254060.1	
ENSG00000286484	ENSG00000286484.1	124901942
ENSG00000164893	ENSG00000164893.9	157724
ENSG00000250273	ENSG00000250273.1	
ENSG00000271874	ENSG00000271874.1	
ENSG00000249236	ENSG00000249236.2	
ENSG00000215440	ENSG00000215440.12	79716
ENSG00000169067	ENSG00000169067.4	345651
ENSG00000236447	ENSG00000236447.2	
ENSG00000112874	ENSG00000112874.10	83594
ENSG00000115163	ENSG00000115163.15	1058
ENSG00000254055	ENSG00000254055.2	105375851
ENSG00000271290	ENSG00000271290.1	
ENSG00000237506	ENSG00000237506.3	
ENSG00000185015	ENSG00000185015.8	377677
ENSG00000287223	ENSG00000287223.1	
ENSG00000229132	ENSG00000229132.2	
ENSG00000230889	ENSG00000230889.2	
ENSG00000158813	ENSG00000158813.18	1896
ENSG00000248733	ENSG00000248733.1	
ENSG00000062194	ENSG00000062194.16	65056
ENSG00000254027	ENSG00000254027.1	
ENSG00000254180	ENSG00000254180.2	
ENSG00000257962	ENSG00000257962.1	
ENSG00000244217	ENSG00000244217.1	
ENSG00000253362	ENSG00000253362.1	
ENSG00000288114	ENSG00000288114.1	2965
ENSG00000254387	ENSG00000254387.1	
ENSG00000188856	ENSG00000188856.6	
ENSG00000213525	ENSG00000213525.3	
ENSG00000286829	ENSG00000286829.1	
ENSG00000223565	ENSG00000223565.1	
ENSG00000260400	ENSG00000260400.1	
ENSG00000288385	ENSG00000288385.1	
ENSG00000242412	ENSG00000242412.1	100169989
ENSG00000288416	ENSG00000288416.1	
ENSG00000248858	ENSG00000248858.7	441369
ENSG00000233953	ENSG00000233953.1	
ENSG00000237149	ENSG00000237149.5	100131213
ENSG00000288553	ENSG00000288553.1	
ENSG00000288391	ENSG00000288391.1	
ENSG00000235968	ENSG00000235968.1	
ENSG00000265817	ENSG00000265817.4	100861412
ENSG00000232693	ENSG00000232693.2	
ENSG00000249310	ENSG00000249310.2	100874530
ENSG00000244310	ENSG00000244310.2	
ENSG00000232444	ENSG00000232444.1	
ENSG00000244509	ENSG00000244509.4	27350
ENSG00000188419	ENSG00000188419.14	1121
ENSG00000230749	ENSG00000230749.5	100873998
ENSG00000226163	ENSG00000226163.1	
ENSG00000227271	ENSG00000227271.1	
ENSG00000279359	ENSG00000279359.1	
ENSG00000232950	ENSG00000232950.1	
ENSG00000238258	ENSG00000238258.1	
ENSG00000115380	ENSG00000115380.20	2202
ENSG00000249320	ENSG00000249320.1	
ENSG00000229543	ENSG00000229543.1	
ENSG00000254063	ENSG00000254063.2	
ENSG00000281016	ENSG00000281016.1	
ENSG00000288459	ENSG00000288459.1	
ENSG00000180694	ENSG00000180694.14	169200
ENSG00000249228	ENSG00000249228.1	
ENSG00000231082	ENSG00000231082.1	105378386
ENSG00000100599	ENSG00000100599.16	79890
ENSG00000122952	ENSG00000122952.17	11130
ENSG00000186777	ENSG00000186777.12	654254
ENSG00000250050	ENSG00000250050.1	
ENSG00000288124	ENSG00000288124.1	51279
ENSG00000284554	ENSG00000284554.2	
ENSG00000128394	ENSG00000128394.17	200316
ENSG00000286212	ENSG00000286212.2	
ENSG00000182903	ENSG00000182903.16	170960
ENSG00000213750	ENSG00000213750.4	
ENSG00000159082	ENSG00000159082.18	8867
ENSG00000253503	ENSG00000253503.6	
ENSG00000254419	ENSG00000254419.1	
ENSG00000237121	ENSG00000237121.1	
ENSG00000270279	ENSG00000270279.1	
ENSG00000255101	ENSG00000255101.1	
ENSG00000276006	ENSG00000276006.1	
ENSG00000268649	ENSG00000268649.5	
ENSG00000254205	ENSG00000254205.1	
ENSG00000284040	ENSG00000284040.1	407022
ENSG00000216031	ENSG00000216031.1	100126296
ENSG00000268333	ENSG00000268333.1	
ENSG00000254123	ENSG00000254123.2	105375929
ENSG00000284845	ENSG00000284845.2	
ENSG00000276859	ENSG00000276859.1	
ENSG00000276722	ENSG00000276722.1	
ENSG00000274491	ENSG00000274491.1	
ENSG00000275069	ENSG00000275069.1	
ENSG00000254212	ENSG00000254212.1	
ENSG00000225806	ENSG00000225806.8	
ENSG00000104361	ENSG00000104361.10	79815
ENSG00000285306	ENSG00000285306.1	
ENSG00000270951	ENSG00000270951.1	
ENSG00000259421	ENSG00000259421.1	
ENSG00000285048	ENSG00000285048.2	10379
ENSG00000285091	ENSG00000285091.1	
ENSG00000227581	ENSG00000227581.2	
ENSG00000251615	ENSG00000251615.3	
ENSG00000284985	ENSG00000284985.1	
ENSG00000239713	ENSG00000239713.9	60489
ENSG00000231206	ENSG00000231206.2	
ENSG00000244538	ENSG00000244538.1	
ENSG00000101158	ENSG00000101158.15	51497
ENSG00000288059	ENSG00000288059.1	
ENSG00000271433	ENSG00000271433.1	
ENSG00000169019	ENSG00000169019.11	54951
ENSG00000215105	ENSG00000215105.4	
ENSG00000236185	ENSG00000236185.1	
ENSG00000231478	ENSG00000231478.1	
ENSG00000232069	ENSG00000232069.1	
ENSG00000280870	ENSG00000280870.3	101928469
ENSG00000270308	ENSG00000270308.1	
ENSG00000225536	ENSG00000225536.2	
ENSG00000250884	ENSG00000250884.1	
ENSG00000248215	ENSG00000248215.6	
ENSG00000232842	ENSG00000232842.2	
ENSG00000229946	ENSG00000229946.2	
ENSG00000231875	ENSG00000231875.1	
ENSG00000124429	ENSG00000124429.18	79983
ENSG00000248302	ENSG00000248302.3	
ENSG00000288352	ENSG00000288352.1	283314
ENSG00000211941	ENSG00000211941.3	
ENSG00000109171	ENSG00000109171.15	57606
ENSG00000253149	ENSG00000253149.3	
ENSG00000211843	ENSG00000211843.1	
ENSG00000258981	ENSG00000258981.1	
ENSG00000100522	ENSG00000100522.10	64841
ENSG00000254380	ENSG00000254380.2	
ENSG00000239281	ENSG00000239281.2	
ENSG00000270002	ENSG00000270002.1	
ENSG00000253680	ENSG00000253680.1	
ENSG00000233258	ENSG00000233258.1	
ENSG00000100324	ENSG00000100324.14	10454
ENSG00000104267	ENSG00000104267.10	760
ENSG00000270352	ENSG00000270352.1	
ENSG00000288369	ENSG00000288369.1	83758
ENSG00000234942	ENSG00000234942.3	100507470
ENSG00000184923	ENSG00000184923.12	728118
ENSG00000102271	ENSG00000102271.14	56062
ENSG00000258440	ENSG00000258440.1	
ENSG00000285664	ENSG00000285664.2	
ENSG00000148655	ENSG00000148655.15	83938
ENSG00000284403	ENSG00000284403.2	
ENSG00000288383	ENSG00000288383.1	
ENSG00000288334	ENSG00000288334.1	
ENSG00000131127	ENSG00000131127.14	7700
ENSG00000288508	ENSG00000288508.1	3671
ENSG00000288427	ENSG00000288427.1	9746
ENSG00000283274	ENSG00000283274.1	
ENSG00000206906	ENSG00000206906.1	124905168
ENSG00000206596	ENSG00000206596.1	124904613
ENSG00000206596	ENSG00000206596.1	124905321
ENSG00000206596	ENSG00000206596.1	124905573
ENSG00000206596	ENSG00000206596.1	124905574
ENSG00000206596	ENSG00000206596.1	124905808
ENSG00000206596	ENSG00000206596.1	124905809
ENSG00000278746	ENSG00000278746.1	
ENSG00000202337	ENSG00000202337.1	101954278
ENSG00000212270	ENSG00000212270.1	124900350
ENSG00000223087	ENSG00000223087.2	
ENSG00000263945	ENSG00000263945.1	100500919
ENSG00000251858	ENSG00000251858.1	124900349
ENSG00000207412	ENSG00000207412.1	
ENSG00000265165	ENSG00000265165.1	100423019
ENSG00000264657	ENSG00000264657.1	100422830
ENSG00000253003	ENSG00000253003.1	
ENSG00000251735	ENSG00000251735.1	
ENSG00000251756	ENSG00000251756.1	
ENSG00000201654	ENSG00000201654.1	101954275
ENSG00000207004	ENSG00000207004.1	
ENSG00000275978	ENSG00000275978.1	
ENSG00000266431	ENSG00000266431.1	100847076
ENSG00000201376	ENSG00000201376.1	124900346
ENSG00000201820	ENSG00000201820.1	
ENSG00000266740	ENSG00000266740.1	100616176
ENSG00000243700	ENSG00000243700.3	
ENSG00000252837	ENSG00000252837.1	
ENSG00000263629	ENSG00000263629.1	100847088
ENSG00000222985	ENSG00000222985.1	
ENSG00000288358	ENSG00000288358.1	100423016
ENSG00000207366	ENSG00000207366.1	
ENSG00000207444	ENSG00000207444.1	319139
ENSG00000242330	ENSG00000242330.3	
ENSG00000206588	ENSG00000206588.1	124904613
ENSG00000206588	ENSG00000206588.1	124905321
ENSG00000206588	ENSG00000206588.1	124905573
ENSG00000206588	ENSG00000206588.1	124905574
ENSG00000206588	ENSG00000206588.1	124905808
ENSG00000206588	ENSG00000206588.1	124905809
ENSG00000199739	ENSG00000199739.1	
ENSG00000288299	ENSG00000288299.1	3939
ENSG00000276782	ENSG00000276782.1	
ENSG00000200860	ENSG00000200860.1	
ENSG00000201351	ENSG00000201351.1	
ENSG00000283519	ENSG00000283519.1	
ENSG00000288257	ENSG00000288257.1	64220
ENSG00000207781	ENSG00000207781.1	693210
ENSG00000251895	ENSG00000251895.1	
ENSG00000238561	ENSG00000238561.1	
ENSG00000283944	ENSG00000283944.1	100616211
ENSG00000252644	ENSG00000252644.1	
ENSG00000221102	ENSG00000221102.1	100124539
ENSG00000201027	ENSG00000201027.1	
ENSG00000252655	ENSG00000252655.1	
ENSG00000285007	ENSG00000285007.2	9985
ENSG00000234382	ENSG00000234382.2	
ENSG00000200312	ENSG00000200312.1	
ENSG00000250243	ENSG00000250243.3	
ENSG00000272767	ENSG00000272767.1	84989
ENSG00000252481	ENSG00000252481.1	677768
ENSG00000200298	ENSG00000200298.1	
ENSG00000237267	ENSG00000237267.1	101929624
ENSG00000241757	ENSG00000241757.3	
ENSG00000288321	ENSG00000288321.1	
ENSG00000222761	ENSG00000222761.1	
ENSG00000222276	ENSG00000222276.1	
ENSG00000251186	ENSG00000251186.1	
ENSG00000213731	ENSG00000213731.2	
ENSG00000272439	ENSG00000272439.1	
ENSG00000128268	ENSG00000128268.12	4248
ENSG00000248466	ENSG00000248466.1	
ENSG00000252369	ENSG00000252369.1	
ENSG00000271710	ENSG00000271710.1	
ENSG00000254224	ENSG00000254224.2	
ENSG00000275033	ENSG00000275033.1	
ENSG00000280166	ENSG00000280166.1	
ENSG00000277468	ENSG00000277468.1	
ENSG00000211845	ENSG00000211845.1	
ENSG00000165512	ENSG00000165512.5	7570
ENSG00000254202	ENSG00000254202.2	
ENSG00000211846	ENSG00000211846.1	
ENSG00000145247	ENSG00000145247.12	132299
ENSG00000211847	ENSG00000211847.1	
ENSG00000279847	ENSG00000279847.3	389676
ENSG00000211848	ENSG00000211848.1	
ENSG00000211849	ENSG00000211849.1	
ENSG00000227188	ENSG00000227188.1	104502417
ENSG00000211850	ENSG00000211850.1	
ENSG00000122359	ENSG00000122359.18	311
ENSG00000100335	ENSG00000100335.15	54471
ENSG00000170820	ENSG00000170820.12	2492
ENSG00000278661	ENSG00000278661.1	
ENSG00000276699	ENSG00000276699.1	
ENSG00000168619	ENSG00000168619.16	8749
ENSG00000211854	ENSG00000211854.1	
ENSG00000211855	ENSG00000211855.1	
ENSG00000211856	ENSG00000211856.1	
ENSG00000211857	ENSG00000211857.1	
ENSG00000211858	ENSG00000211858.1	
ENSG00000211859	ENSG00000211859.1	
ENSG00000211860	ENSG00000211860.1	
ENSG00000211861	ENSG00000211861.1	
ENSG00000211862	ENSG00000211862.1	
ENSG00000211863	ENSG00000211863.1	
ENSG00000211864	ENSG00000211864.2	
ENSG00000211865	ENSG00000211865.1	
ENSG00000211866	ENSG00000211866.1	
ENSG00000211867	ENSG00000211867.1	
ENSG00000211868	ENSG00000211868.1	
ENSG00000160072	ENSG00000160072.20	83858
ENSG00000211869	ENSG00000211869.1	
ENSG00000211870	ENSG00000211870.1	
ENSG00000211871	ENSG00000211871.1	
ENSG00000211872	ENSG00000211872.1	
ENSG00000211873	ENSG00000211873.1	
ENSG00000211875	ENSG00000211875.1	
ENSG00000211876	ENSG00000211876.1	
ENSG00000211877	ENSG00000211877.1	
ENSG00000211878	ENSG00000211878.1	
ENSG00000211879	ENSG00000211879.1	
ENSG00000213698	ENSG00000213698.2	
ENSG00000211880	ENSG00000211880.1	
ENSG00000073905	ENSG00000073905.8	
ENSG00000211881	ENSG00000211881.1	
ENSG00000211882	ENSG00000211882.1	
ENSG00000236243	ENSG00000236243.2	
ENSG00000211883	ENSG00000211883.1	
ENSG00000228051	ENSG00000228051.1	
ENSG00000229594	ENSG00000229594.1	
ENSG00000211884	ENSG00000211884.1	
ENSG00000220925	ENSG00000220925.2	
ENSG00000211885	ENSG00000211885.1	
ENSG00000122824	ENSG00000122824.11	170685
ENSG00000211886	ENSG00000211886.1	
ENSG00000211887	ENSG00000211887.2	
ENSG00000211888	ENSG00000211888.2	
ENSG00000277734	ENSG00000277734.8	
ENSG00000288415	ENSG00000288415.1	100423021
ENSG00000288452	ENSG00000288452.1	
ENSG00000288331	ENSG00000288331.1	102465993
ENSG00000288160	ENSG00000288160.3	102724536
ENSG00000259054	ENSG00000259054.1	105370400
ENSG00000129562	ENSG00000129562.11	1603
ENSG00000270826	ENSG00000270826.1	
ENSG00000288250	ENSG00000288250.1	7140
ENSG00000271322	ENSG00000271322.1	
ENSG00000276892	ENSG00000276892.1	
ENSG00000213695	ENSG00000213695.3	
ENSG00000226753	ENSG00000226753.1	
ENSG00000271205	ENSG00000271205.1	
ENSG00000198934	ENSG00000198934.5	57692
ENSG00000232735	ENSG00000232735.2	
ENSG00000266944	ENSG00000266944.1	
ENSG00000271094	ENSG00000271094.1	
ENSG00000185222	ENSG00000185222.10	51186
ENSG00000142347	ENSG00000142347.19	4542
ENSG00000275552	ENSG00000275552.1	
ENSG00000248708	ENSG00000248708.2	
ENSG00000242061	ENSG00000242061.1	
ENSG00000258458	ENSG00000258458.8	
ENSG00000229661	ENSG00000229661.1	
ENSG00000248727	ENSG00000248727.6	102467147
ENSG00000274398	ENSG00000274398.1	
ENSG00000232293	ENSG00000232293.2	
ENSG00000230592	ENSG00000230592.2	
ENSG00000235213	ENSG00000235213.1	
ENSG00000270745	ENSG00000270745.1	
ENSG00000258823	ENSG00000258823.1	
ENSG00000102390	ENSG00000102390.11	51260
ENSG00000268391	ENSG00000268391.1	
ENSG00000212302	ENSG00000212302.1	124900351
ENSG00000155463	ENSG00000155463.14	5018
ENSG00000113318	ENSG00000113318.11	4437
ENSG00000163694	ENSG00000163694.15	54502
ENSG00000279928	ENSG00000279928.2	
ENSG00000228037	ENSG00000228037.1	
ENSG00000142611	ENSG00000142611.17	63976
ENSG00000236913	ENSG00000236913.1	
ENSG00000279297	ENSG00000279297.1	
ENSG00000255178	ENSG00000255178.1	101928944
ENSG00000013016	ENSG00000013016.16	30845
ENSG00000254746	ENSG00000254746.6	105376654
ENSG00000285025	ENSG00000285025.1	54471
ENSG00000187051	ENSG00000187051.9	91582
ENSG00000206062	ENSG00000206062.4	
ENSG00000271157	ENSG00000271157.1	
ENSG00000281091	ENSG00000281091.3	
ENSG00000255385	ENSG00000255385.1	
ENSG00000186895	ENSG00000186895.4	2248
ENSG00000271056	ENSG00000271056.1	
ENSG00000238234	ENSG00000238234.7	
ENSG00000290340	ENSG00000290340.1	285834
ENSG00000236256	ENSG00000236256.9	10824
ENSG00000256568	ENSG00000256568.2	
ENSG00000279956	ENSG00000279956.1	
ENSG00000255162	ENSG00000255162.1	
ENSG00000243492	ENSG00000243492.7	
ENSG00000223287	ENSG00000223287.1	
ENSG00000290365	ENSG00000290365.1	3139
ENSG00000183249	ENSG00000183249.8	
ENSG00000166013	ENSG00000166013.11	
ENSG00000230478	ENSG00000230478.1	
ENSG00000288281	ENSG00000288281.1	
ENSG00000233442	ENSG00000233442.2	
ENSG00000288116	ENSG00000288116.1	
ENSG00000275170	ENSG00000275170.1	
ENSG00000273398	ENSG00000273398.6	
ENSG00000227434	ENSG00000227434.2	
ENSG00000230238	ENSG00000230238.8	
ENSG00000255132	ENSG00000255132.1	
ENSG00000179300	ENSG00000179300.4	203430
ENSG00000249493	ENSG00000249493.1	
ENSG00000254885	ENSG00000254885.1	
ENSG00000201812	ENSG00000201812.1	
ENSG00000288217	ENSG00000288217.3	5830
ENSG00000255187	ENSG00000255187.2	
ENSG00000290380	ENSG00000290380.1	352962
ENSG00000277572	ENSG00000277572.1	
ENSG00000240755	ENSG00000240755.1	
ENSG00000185272	ENSG00000185272.14	54033
ENSG00000236870	ENSG00000236870.2	
ENSG00000280430	ENSG00000280430.1	
ENSG00000285248	ENSG00000285248.2	79711
ENSG00000225132	ENSG00000225132.10	3116
ENSG00000224775	ENSG00000224775.2	
ENSG00000286665	ENSG00000286665.1	
ENSG00000286523	ENSG00000286523.1	
ENSG00000283601	ENSG00000283601.1	
ENSG00000290392	ENSG00000290392.1	
ENSG00000254579	ENSG00000254579.2	
ENSG00000224632	ENSG00000224632.1	
ENSG00000228220	ENSG00000228220.8	
ENSG00000228045	ENSG00000228045.1	
ENSG00000254915	ENSG00000254915.1	
ENSG00000230275	ENSG00000230275.2	
ENSG00000115421	ENSG00000115421.13	64895
ENSG00000286195	ENSG00000286195.1	
ENSG00000226081	ENSG00000226081.2	
ENSG00000280367	ENSG00000280367.1	
ENSG00000233446	ENSG00000233446.2	
ENSG00000182902	ENSG00000182902.14	83733
ENSG00000290452	ENSG00000290452.1	
ENSG00000225012	ENSG00000225012.5	
ENSG00000077514	ENSG00000077514.9	10714
ENSG00000122145	ENSG00000122145.15	50945
ENSG00000101162	ENSG00000101162.4	81027
ENSG00000124172	ENSG00000124172.10	514
ENSG00000155304	ENSG00000155304.6	6782
ENSG00000235701	ENSG00000235701.1	
ENSG00000276873	ENSG00000276873.1	
ENSG00000101166	ENSG00000101166.16	51012
ENSG00000183527	ENSG00000183527.12	8624
ENSG00000254251	ENSG00000254251.1	
ENSG00000248159	ENSG00000248159.1	
ENSG00000199716	ENSG00000199716.1	
ENSG00000197324	ENSG00000197324.9	26020
ENSG00000153779	ENSG00000153779.11	90316
ENSG00000253118	ENSG00000253118.1	
ENSG00000270861	ENSG00000270861.1	
ENSG00000253737	ENSG00000253737.1	
ENSG00000132541	ENSG00000132541.11	10247
ENSG00000248608	ENSG00000248608.2	
ENSG00000251630	ENSG00000251630.1	
ENSG00000181826	ENSG00000181826.10	768211
ENSG00000234322	ENSG00000234322.1	
ENSG00000236797	ENSG00000236797.1	
ENSG00000272692	ENSG00000272692.2	
ENSG00000232267	ENSG00000232267.1	
ENSG00000215089	ENSG00000215089.3	
ENSG00000279502	ENSG00000279502.1	
ENSG00000285257	ENSG00000285257.1	
ENSG00000204272	ENSG00000204272.13	550643
ENSG00000122378	ENSG00000122378.14	84293
ENSG00000234889	ENSG00000234889.2	
ENSG00000236754	ENSG00000236754.5	101929372
ENSG00000232925	ENSG00000232925.2	
ENSG00000237873	ENSG00000237873.1	
ENSG00000204183	ENSG00000204183.3	
ENSG00000225025	ENSG00000225025.2	
ENSG00000131100	ENSG00000131100.13	529
ENSG00000125965	ENSG00000125965.9	8200
ENSG00000270759	ENSG00000270759.1	
ENSG00000239407	ENSG00000239407.5	
ENSG00000288295	ENSG00000288295.1	28985
ENSG00000226837	ENSG00000226837.2	
ENSG00000249045	ENSG00000249045.1	
ENSG00000242640	ENSG00000242640.1	
ENSG00000279464	ENSG00000279464.1	
ENSG00000280015	ENSG00000280015.1	
ENSG00000221763	ENSG00000221763.1	100302125
ENSG00000125975	ENSG00000125975.14	140873
ENSG00000251080	ENSG00000251080.1	
ENSG00000131171	ENSG00000131171.13	6451
ENSG00000249079	ENSG00000249079.1	
ENSG00000139890	ENSG00000139890.10	161253
ENSG00000071189	ENSG00000071189.21	23161
ENSG00000157796	ENSG00000157796.18	57728
ENSG00000272249	ENSG00000272249.1	
ENSG00000267148	ENSG00000267148.1	
ENSG00000147669	ENSG00000147669.11	5440
ENSG00000182087	ENSG00000182087.14	91304
ENSG00000224497	ENSG00000224497.1	
ENSG00000088340	ENSG00000088340.17	
ENSG00000100461	ENSG00000100461.18	55147
ENSG00000288368	ENSG00000288368.1	29071
ENSG00000231144	ENSG00000231144.1	
ENSG00000250031	ENSG00000250031.1	
ENSG00000284616	ENSG00000284616.1	
ENSG00000215085	ENSG00000215085.4	
ENSG00000236190	ENSG00000236190.1	
ENSG00000235447	ENSG00000235447.2	
ENSG00000276540	ENSG00000276540.1	
ENSG00000224523	ENSG00000224523.1	
ENSG00000157911	ENSG00000157911.11	5192
ENSG00000279437	ENSG00000279437.1	
ENSG00000182574	ENSG00000182574.8	
ENSG00000123124	ENSG00000123124.14	11059
ENSG00000288412	ENSG00000288412.1	
ENSG00000288226	ENSG00000288226.1	
ENSG00000228612	ENSG00000228612.2	
ENSG00000288466	ENSG00000288466.1	643311
ENSG00000228847	ENSG00000228847.1	
ENSG00000188917	ENSG00000188917.15	79979
ENSG00000288328	ENSG00000288328.1	
ENSG00000288273	ENSG00000288273.1	255313
ENSG00000288273	ENSG00000288273.1	728062
ENSG00000288477	ENSG00000288477.1	728075
ENSG00000185658	ENSG00000185658.14	54014
ENSG00000288251	ENSG00000288251.1	
ENSG00000288363	ENSG00000288363.1	728096
ENSG00000288197	ENSG00000288197.1	
ENSG00000288220	ENSG00000288220.1	
ENSG00000288118	ENSG00000288118.1	2747
ENSG00000288140	ENSG00000288140.1	
ENSG00000230962	ENSG00000230962.2	101929684
ENSG00000286445	ENSG00000286445.1	
ENSG00000235279	ENSG00000235279.1	
ENSG00000280134	ENSG00000280134.1	
ENSG00000107789	ENSG00000107789.16	9562
ENSG00000237179	ENSG00000237179.6	
ENSG00000224464	ENSG00000224464.2	
ENSG00000273275	ENSG00000273275.1	
ENSG00000228481	ENSG00000228481.1	
ENSG00000284722	ENSG00000284722.2	
ENSG00000226488	ENSG00000226488.2	107985844
ENSG00000280307	ENSG00000280307.1	
ENSG00000270323	ENSG00000270323.1	
ENSG00000230355	ENSG00000230355.1	
ENSG00000232668	ENSG00000232668.1	
ENSG00000231815	ENSG00000231815.2	
ENSG00000166012	ENSG00000166012.17	79101
ENSG00000271443	ENSG00000271443.1	
ENSG00000269976	ENSG00000269976.1	
ENSG00000227770	ENSG00000227770.1	
ENSG00000235009	ENSG00000235009.1	100996902
ENSG00000269896	ENSG00000269896.2	100129534
ENSG00000228463	ENSG00000228463.10	
ENSG00000138029	ENSG00000138029.14	3032
ENSG00000235858	ENSG00000235858.1	
ENSG00000231060	ENSG00000231060.1	
ENSG00000230501	ENSG00000230501.1	
ENSG00000260972	ENSG00000260972.1	
ENSG00000108064	ENSG00000108064.11	7019
ENSG00000224340	ENSG00000224340.1	
