Gene stable ID	Gene stable ID version	NCBI gene (formerly Entrezgene) ID
ENSG00000276820	ENSG00000276820.1	3802
ENSG00000276423	ENSG00000276423.6	3811
ENSG00000281738	ENSG00000281738.1	
ENSG00000274130	ENSG00000274130.1	
ENSG00000276424	ENSG00000276424.4	3812
ENSG00000273526	ENSG00000273526.1	3809
ENSG00000274193	ENSG00000274193.4	3805
ENSG00000274193	ENSG00000274193.4	124900568
ENSG00000278306	ENSG00000278306.1	3808
ENSG00000278345	ENSG00000278345.1	
ENSG00000276328	ENSG00000276328.1	115653
ENSG00000281250	ENSG00000281250.1	105374250
ENSG00000278731	ENSG00000278731.5	3803
ENSG00000274782	ENSG00000274782.1	3802
ENSG00000275080	ENSG00000275080.5	3802
ENSG00000275433	ENSG00000275433.1	115653
ENSG00000275732	ENSG00000275732.4	3805
ENSG00000275732	ENSG00000275732.4	124900568
ENSG00000277620	ENSG00000277620.1	115653
ENSG00000273738	ENSG00000273738.4	2204
ENSG00000280830	ENSG00000280830.1	55256
ENSG00000274891	ENSG00000274891.3	51112
ENSG00000274948	ENSG00000274948.5	3811
ENSG00000262647	ENSG00000262647.3	283189
ENSG00000281107	ENSG00000281107.1	
ENSG00000262268	ENSG00000262268.3	
ENSG00000281313	ENSG00000281313.1	
ENSG00000281279	ENSG00000281279.1	
ENSG00000275018	ENSG00000275018.6	
ENSG00000281777	ENSG00000281777.1	
ENSG00000261958	ENSG00000261958.1	390174
ENSG00000281683	ENSG00000281683.1	
ENSG00000278625	ENSG00000278625.1	124905334
ENSG00000262191	ENSG00000262191.1	504191
ENSG00000277742	ENSG00000277742.1	
ENSG00000274851	ENSG00000274851.1	
ENSG00000281839	ENSG00000281839.1	101927120
ENSG00000275938	ENSG00000275938.1	3809
ENSG00000273688	ENSG00000273688.1	
ENSG00000262535	ENSG00000262535.6	
ENSG00000277570	ENSG00000277570.1	
ENSG00000290500	ENSG00000290500.1	
ENSG00000276306	ENSG00000276306.1	
ENSG00000274955	ENSG00000274955.4	3805
ENSG00000274955	ENSG00000274955.4	124900568
ENSG00000277317	ENSG00000277317.5	3804
ENSG00000280770	ENSG00000280770.1	
ENSG00000262994	ENSG00000262994.1	
ENSG00000277070	ENSG00000277070.1	
ENSG00000281723	ENSG00000281723.1	
ENSG00000276974	ENSG00000276974.1	
ENSG00000269823	ENSG00000269823.1	
ENSG00000276676	ENSG00000276676.5	3810
ENSG00000278325	ENSG00000278325.1	
ENSG00000276930	ENSG00000276930.1	115653
ENSG00000262710	ENSG00000262710.1	
ENSG00000275289	ENSG00000275289.4	79166
ENSG00000262469	ENSG00000262469.1	
ENSG00000277616	ENSG00000277616.1	3802
ENSG00000277376	ENSG00000277376.1	
ENSG00000276295	ENSG00000276295.1	
ENSG00000274163	ENSG00000274163.1	
ENSG00000275531	ENSG00000275531.1	
ENSG00000274842	ENSG00000274842.4	79166
ENSG00000276258	ENSG00000276258.1	100132285
ENSG00000276258	ENSG00000276258.1	124900575
ENSG00000273881	ENSG00000273881.1	
ENSG00000277940	ENSG00000277940.1	
ENSG00000276086	ENSG00000276086.1	115653
ENSG00000275946	ENSG00000275946.5	553128
ENSG00000275946	ENSG00000275946.5	124900574
ENSG00000278369	ENSG00000278369.1	3804
ENSG00000274406	ENSG00000274406.1	3809
ENSG00000274189	ENSG00000274189.4	3805
